date,country,D,H,I,M,S
2021-05-01,Japan,14,0,0,106,1
2021-05-01,Sweden,3,0,0,6,0
2021-05-02,Afghanistan,3,1,0,32,1
2021-05-02,Japan,14,0,0,107,0
2021-05-02,Sweden,3,0,0,6,0
2021-05-03,Afghanistan,3,1,0,32,1
2021-05-03,Japan,14,0,0,107,0
2021-05-03,Sweden,3,0,0,6,0
2021-05-04,Afghanistan,3,1,0,32,1
2021-05-04,Japan,14,0,0,107,0
2021-05-04,Sweden,3,0,0,6,0
2021-05-05,Afghanistan,3,1,0,32,1
2021-05-05,Japan,14,0,0,107,0
2021-05-05,Sweden,3,0,0,6,0
2021-05-06,Afghanistan,3,1,0,32,1
2021-05-06,Japan,14,0,0,107,0
2021-05-06,Sweden,3,0,0,6,0
2021-05-07,Afghanistan,3,1,0,32,1
2021-05-07,Japan,14,0,0,107,0
2021-05-07,Sweden,3,0,0,6,0
2021-05-08,Afghanistan,3,1,0,32,1
2021-05-08,Japan,14,0,0,107,0
2021-05-08,Sweden,3,0,0,6,0
2021-05-09,Afghanistan,3,1,0,32,1
2021-05-09,Japan,14,0,0,107,0
2021-05-09,Sweden,3,0,0,6,0
2021-05-10,Afghanistan,3,1,0,32,1
2021-05-10,Japan,14,0,0,107,0
2021-05-10,Sweden,3,0,0,6,0
2021-05-11,Afghanistan,3,1,0,33,0
2021-05-11,Japan,14,0,0,107,0
2021-05-11,Sweden,3,0,0,6,0
2021-05-12,Afghanistan,3,1,0,33,0
2021-05-12,Japan,14,0,0,107,0
2021-05-12,Sweden,3,0,0,6,0
2021-05-13,Afghanistan,3,1,0,33,0
2021-05-13,Japan,14,0,0,107,0
2021-05-13,Sweden,3,0,0,6,0
2021-05-14,Afghanistan,3,1,0,33,0
2021-05-14,Japan,14,0,0,107,0
2021-05-14,Sweden,3,0,0,6,0
2021-05-15,Afghanistan,3,1,0,33,0
2021-05-15,Japan,14,0,0,107,0
2021-05-15,Sweden,3,0,0,6,0
2021-05-16,Afghanistan,3,1,0,33,0
2021-05-16,Japan,14,0,0,107,0
2021-05-16,Sweden,3,0,0,6,0
2021-05-17,Afghanistan,3,1,0,33,0
2021-05-17,Japan,14,0,0,107,0
2021-05-17,Sweden,3,0,0,6,0
2021-05-18,Afghanistan,3,1,0,33,0
2021-05-18,Japan,14,0,0,107,0
2021-05-18,Sweden,3,0,0,6,0
2021-05-19,Afghanistan,3,1,0,33,0
2021-05-19,Japan,14,0,0,107,0
2021-05-19,Sweden,3,0,0,6,0
2021-05-20,Afghanistan,3,1,0,33,0
2021-05-20,Japan,14,0,0,107,0
2021-05-20,Sweden,3,0,0,6,0
2021-05-21,Afghanistan,3,1,0,33,0
2021-05-21,Japan,14,0,0,107,0
2021-05-21,Sweden,3,0,0,6,0
2021-05-22,Afghanistan,3,1,0,33,0
2021-05-22,Japan,14,0,0,107,0
2021-05-22,Sweden,3,0,0,6,0
2021-05-23,Afghanistan,3,1,0,33,0
2021-05-23,Japan,14,0,0,107,0
2021-05-23,Sweden,3,0,0,6,0
2021-05-24,Afghanistan,3,1,0,33,0
2021-05-24,Japan,14,0,0,107,0
2021-05-24,Sweden,3,0,0,6,0
2021-05-25,Afghanistan,3,0,1,33,0
2021-05-25,Japan,14,0,0,107,0
2021-05-25,Sweden,3,0,0,6,0
2021-05-26,Afghanistan,3,0,1,33,0
2021-05-26,Japan,14,0,0,107,0
2021-05-26,Sweden,3,0,0,6,0
2021-05-27,Afghanistan,3,0,1,33,0
2021-05-27,Japan,14,0,0,107,0
2021-05-27,Sweden,3,0,0,6,0
2021-05-28,Afghanistan,3,0,1,33,0
2021-05-28,Japan,14,0,0,107,0
2021-05-28,Sweden,3,0,0,6,0
2021-05-29,Afghanistan,3,0,0,33,1
2021-05-29,Japan,14,0,0,107,0
2021-05-29,Sweden,3,0,0,6,0
2021-05-30,Afghanistan,3,0,0,33,1
2021-05-30,Japan,14,0,0,107,0
2021-05-30,Sweden,3,0,0,6,0
2021-05-31,Afghanistan,3,0,0,33,1
2021-05-31,Japan,14,0,0,107,0
2021-05-31,Sweden,3,0,0,6,0
2021-06-01,Afghanistan,3,0,0,33,1
2021-06-01,Japan,14,0,0,107,0
2021-06-01,Sweden,3,0,0,6,0
2021-06-02,Afghanistan,3,0,0,33,1
2021-06-02,Japan,14,0,0,107,0
2021-06-02,Sweden,3,0,0,6,0
2021-06-03,Afghanistan,3,0,0,33,1
2021-06-03,Japan,14,0,0,107,0
2021-06-03,Sweden,3,0,0,6,0
2021-06-04,Afghanistan,3,0,0,33,1
2021-06-04,Japan,14,0,0,107,0
2021-06-04,Sweden,3,0,0,6,0
2021-06-05,Afghanistan,3,0,0,33,1
2021-06-05,Japan,14,0,0,107,0
2021-06-05,Sweden,3,0,0,6,0
2021-06-06,Afghanistan,3,0,0,33,1
2021-06-06,Japan,14,0,0,107,0
2021-06-06,Sweden,3,0,0,6,0
2021-06-07,Afghanistan,3,0,0,33,1
2021-06-07,Japan,14,0,0,107,0
2021-06-07,Sweden,3,0,0,6,0
2021-06-08,Afghanistan,3,0,0,33,1
2021-06-08,Japan,14,0,0,107,0
2021-06-08,Sweden,3,0,0,6,0
2021-06-09,Afghanistan,3,0,0,33,1
2021-06-09,Japan,14,0,0,107,0
2021-06-09,Sweden,3,0,0,6,0
2021-06-10,Afghanistan,3,0,0,33,1
2021-06-10,Japan,14,0,0,107,0
2021-06-10,Sweden,3,0,0,6,0
2021-06-11,Afghanistan,3,0,0,33,1
2021-06-11,Japan,14,0,0,107,0
2021-06-11,Sweden,3,0,0,6,0
2021-06-12,Afghanistan,3,0,0,34,0
2021-06-12,Japan,14,0,0,107,0
2021-06-12,Sweden,3,0,0,6,0
2021-06-13,Afghanistan,3,0,0,34,0
2021-06-13,Japan,14,0,0,107,0
2021-06-13,Sweden,3,0,0,6,0
2021-06-14,Afghanistan,3,0,0,34,0
2021-06-14,Japan,14,0,0,107,0
2021-06-14,Sweden,3,0,0,6,0
2021-06-15,Afghanistan,3,0,0,34,0
2021-06-15,Japan,14,0,0,107,0
2021-06-15,Sweden,3,0,0,6,0
2021-06-16,Afghanistan,3,0,0,34,0
2021-06-16,Japan,14,0,0,107,0
2021-06-16,Sweden,3,0,0,6,0
2021-06-17,Afghanistan,3,0,0,34,0
2021-06-17,Japan,14,0,0,107,0
2021-06-17,Sweden,3,0,0,6,0
2021-06-18,Afghanistan,3,0,0,34,0
2021-06-18,Japan,14,0,0,107,0
2021-06-18,Sweden,3,0,0,6,0
2021-06-19,Afghanistan,3,0,0,34,0
2021-06-19,Japan,14,0,0,107,0
2021-06-19,Sweden,3,0,0,6,0
2021-06-20,Afghanistan,3,0,0,34,0
2021-06-20,Japan,14,0,0,107,0
2021-06-20,Sweden,3,0,0,6,0
2021-06-21,Afghanistan,3,0,0,34,0
2021-06-21,Japan,14,0,0,107,0
2021-06-21,Sweden,3,0,0,6,0
2021-06-22,Afghanistan,3,0,0,34,0
2021-06-22,Japan,14,0,0,107,0
2021-06-22,Sweden,3,0,0,6,0
2021-06-23,Afghanistan,3,0,0,34,0
2021-06-23,Japan,14,0,0,107,0
2021-06-23,Sweden,3,0,0,6,0
2021-06-24,Afghanistan,3,0,0,34,0
2021-06-24,Japan,14,0,0,107,0
2021-06-24,Sweden,3,0,0,6,0
2021-06-25,Afghanistan,3,0,0,34,0
2021-06-25,Japan,14,0,0,107,0
2021-06-25,Sweden,3,0,0,6,0
2021-06-26,Afghanistan,3,0,0,34,0
2021-06-26,Japan,14,0,0,107,0
2021-06-26,Sweden,3,0,0,6,0
2021-06-27,Afghanistan,3,0,0,34,0
2021-06-27,Japan,14,0,0,107,0
2021-06-27,Sweden,3,0,0,6,0
2021-06-28,Afghanistan,3,0,0,34,0
2021-06-28,Japan,14,0,0,107,0
2021-06-28,Sweden,3,0,0,6,0
2021-06-29,Afghanistan,3,0,0,34,0
2021-06-29,Japan,14,0,0,107,0
2021-06-29,Sweden,3,0,0,6,0
2021-06-30,Afghanistan,3,0,0,34,0
2021-06-30,Japan,14,0,0,107,0
2021-06-30,Sweden,3,0,0,6,0
2021-07-01,Afghanistan,3,0,0,34,0
2021-07-01,Japan,14,0,0,107,0
2021-07-01,Sweden,3,0,0,6,0
2021-07-02,Afghanistan,3,0,0,34,0
2021-07-02,Japan,14,0,0,107,0
2021-07-02,Sweden,3,0,0,6,0
2021-07-03,Afghanistan,3,0,0,34,0
2021-07-03,Japan,14,0,0,107,0
2021-07-03,Sweden,3,0,0,6,0
2021-07-04,Afghanistan,3,0,0,34,0
2021-07-04,Japan,14,0,0,107,0
2021-07-04,Sweden,3,0,0,6,0
2021-07-05,Afghanistan,3,0,0,34,0
2021-07-05,Japan,14,0,0,107,0
2021-07-05,Sweden,3,0,0,6,0
2021-07-06,Afghanistan,3,0,0,34,0
2021-07-06,Japan,14,0,0,107,0
2021-07-06,Sweden,3,0,0,6,0
2021-07-07,Afghanistan,3,0,0,34,0
2021-07-07,Japan,14,0,0,107,0
2021-07-07,Sweden,3,0,0,6,0
2021-07-08,Afghanistan,3,0,0,34,0
2021-07-08,Japan,14,0,0,107,0
2021-07-08,Sweden,3,0,0,6,0
2021-07-09,Afghanistan,3,0,0,34,0
2021-07-09,Japan,14,0,0,107,0
2021-07-09,Sweden,3,0,0,6,0
2021-07-10,Afghanistan,3,0,0,34,0
2021-07-10,Japan,14,0,0,107,0
2021-07-10,Sweden,3,0,0,6,0
2021-07-11,Afghanistan,3,0,0,34,0
2021-07-11,Japan,14,0,0,107,0
2021-07-11,Sweden,3,0,0,6,0
2021-07-12,Afghanistan,3,0,0,34,0
2021-07-12,Japan,14,0,0,107,0
2021-07-12,Sweden,3,0,0,6,0
2021-07-13,Afghanistan,3,0,0,34,0
2021-07-13,Japan,14,0,0,107,0
2021-07-13,Sweden,3,0,0,6,0
2021-07-14,Afghanistan,3,0,0,34,0
2021-07-14,Japan,14,0,0,107,0
2021-07-14,Sweden,3,0,0,6,0
2021-07-15,Afghanistan,3,0,0,34,0
2021-07-15,Japan,14,0,0,107,0
2021-07-15,Sweden,3,0,0,6,0
2021-07-16,Afghanistan,3,0,0,34,0
2021-07-16,Japan,14,0,0,107,0
2021-07-16,Sweden,3,0,0,6,0
2021-07-17,Afghanistan,3,0,0,34,0
2021-07-17,Japan,14,0,0,107,0
2021-07-17,Sweden,3,0,0,6,0
2021-07-18,Afghanistan,3,0,0,34,0
2021-07-18,Japan,14,0,0,107,0
2021-07-18,Sweden,3,0,0,6,0
2021-07-19,Afghanistan,3,0,0,34,0
2021-07-19,Japan,14,0,0,107,0
2021-07-19,Sweden,3,0,0,6,0
2021-07-20,Afghanistan,3,0,0,34,0
2021-07-20,Japan,14,0,0,107,0
2021-07-20,Sweden,3,0,0,6,0
2021-07-21,Afghanistan,3,0,0,34,0
2021-07-21,Japan,14,0,0,107,0
2021-07-21,Sweden,3,0,0,6,0
2021-07-22,Afghanistan,3,0,0,34,0
2021-07-22,Japan,14,0,0,107,0
2021-07-22,Sweden,3,0,0,6,0
2021-07-23,Afghanistan,3,0,0,34,0
2021-07-23,Japan,14,0,0,107,0
2021-07-23,Sweden,3,0,0,6,0
2021-07-24,Afghanistan,3,0,0,34,0
2021-07-24,Japan,14,0,0,107,0
2021-07-24,Sweden,3,0,0,6,0
2021-07-25,Afghanistan,3,0,0,34,0
2021-07-25,Japan,14,0,0,107,0
2021-07-25,Sweden,3,0,0,6,0
2021-07-26,Afghanistan,3,0,0,34,0
2021-07-26,Japan,14,0,0,107,0
2021-07-26,Sweden,3,0,0,6,0
2021-07-27,Afghanistan,3,0,0,34,0
2021-07-27,Japan,14,0,0,107,0
2021-07-27,Sweden,3,0,0,6,0
2021-07-28,Afghanistan,3,0,0,34,0
2021-07-28,Japan,14,0,0,107,0
2021-07-28,Sweden,3,0,0,6,0
2021-07-29,Afghanistan,3,0,0,34,0
2021-07-29,Japan,14,0,0,107,0
2021-07-29,Sweden,3,0,0,6,0
2021-07-30,Afghanistan,3,0,0,34,0
2021-07-30,Japan,14,0,0,107,0
2021-07-30,Sweden,3,0,0,6,0
2021-07-31,Afghanistan,3,0,0,34,0
2021-07-31,Japan,14,0,0,107,0
2021-07-31,Sweden,3,0,0,6,0
2021-08-01,Afghanistan,3,0,0,34,0
2021-08-01,Japan,14,0,0,107,0
2021-08-01,Sweden,3,0,0,6,0
2021-08-02,Afghanistan,3,0,0,34,0
2021-08-02,Japan,14,0,0,107,0
2021-08-02,Sweden,3,0,0,6,0
2021-08-03,Afghanistan,3,0,0,34,0
2021-08-03,Japan,14,0,0,107,0
2021-08-03,Sweden,3,0,0,6,0
2021-08-04,Afghanistan,3,1,0,33,0
2021-08-04,Japan,14,16,0,91,0
2021-08-04,Sweden,3,1,0,5,0
2021-08-05,Afghanistan,3,7,0,27,0
2021-08-05,Japan,14,24,6,77,0
2021-08-05,Sweden,3,4,0,2,0
2021-08-06,Afghanistan,3,6,1,27,0
2021-08-06,Japan,14,25,15,67,0
2021-08-06,Sweden,3,3,1,2,0
2021-08-07,Afghanistan,3,6,1,27,0
2021-08-07,Japan,14,19,24,64,0
2021-08-07,Sweden,3,3,1,2,0
2021-08-08,Afghanistan,3,6,2,26,0
2021-08-08,Japan,14,19,30,58,0
2021-08-08,Sweden,3,3,1,2,0
2021-08-09,Afghanistan,3,6,3,25,0
2021-08-09,Japan,14,17,31,56,3
2021-08-09,Sweden,3,0,4,2,0
2021-08-10,Afghanistan,3,5,3,25,1
2021-08-10,Japan,14,14,25,60,8
2021-08-10,Sweden,3,0,3,2,1
2021-08-11,Afghanistan,3,4,5,24,1
2021-08-11,Japan,14,13,18,66,10
2021-08-11,Sweden,3,0,3,2,1
2021-08-12,Afghanistan,3,4,5,24,1
2021-08-12,Japan,14,8,18,69,12
2021-08-12,Sweden,3,0,3,2,1
2021-08-13,Afghanistan,3,3,5,25,1
2021-08-13,Japan,14,4,15,75,13
2021-08-13,Sweden,3,0,0,3,3
2021-08-14,Afghanistan,3,2,5,26,1
2021-08-14,Japan,14,4,14,73,16
2021-08-14,Sweden,3,0,0,3,3
2021-08-15,Afghanistan,3,3,3,25,3
2021-08-15,Japan,14,4,12,74,17
2021-08-15,Sweden,3,0,0,3,3
2021-08-16,Afghanistan,3,2,3,26,3
2021-08-16,Japan,14,4,6,76,21
2021-08-16,Sweden,3,0,0,3,3
2021-08-17,Afghanistan,3,2,2,27,3
2021-08-17,Japan,14,3,3,77,24
2021-08-17,Sweden,3,0,0,3,3
2021-08-18,Afghanistan,3,5,1,24,4
2021-08-18,Japan,14,14,1,67,25
2021-08-18,Sweden,3,0,0,3,3
2021-08-19,Afghanistan,3,10,2,18,4
2021-08-19,Japan,14,22,3,57,25
2021-08-19,Sweden,3,2,0,1,3
2021-08-20,Afghanistan,3,9,5,15,5
2021-08-20,Japan,14,28,7,47,25
2021-08-20,Sweden,3,2,0,1,3
2021-08-21,Afghanistan,3,7,8,14,5
2021-08-21,Japan,14,23,13,46,25
2021-08-21,Sweden,3,2,0,1,3
2021-08-22,Afghanistan,3,6,10,13,5
2021-08-22,Japan,14,17,23,42,25
2021-08-22,Sweden,3,2,0,1,3
2021-08-23,Afghanistan,3,5,12,12,5
2021-08-23,Japan,15,18,23,43,22
2021-08-23,Sweden,3,2,0,1,3
2021-08-24,Afghanistan,3,7,8,12,7
2021-08-24,Japan,16,13,24,49,19
2021-08-24,Sweden,4,2,0,1,2
2021-08-25,Afghanistan,3,8,5,12,9
2021-08-25,Japan,18,12,21,48,22
2021-08-25,Sweden,4,1,1,1,2
2021-08-26,Afghanistan,3,7,4,13,10
2021-08-26,Japan,18,9,14,54,26
2021-08-26,Sweden,4,1,1,1,2
2021-08-27,Afghanistan,3,5,3,16,10
2021-08-27,Japan,18,10,13,55,25
2021-08-27,Sweden,4,1,1,3,0
2021-08-28,Afghanistan,3,6,3,15,10
2021-08-28,Japan,18,10,11,56,26
2021-08-28,Sweden,4,1,1,3,0
2021-08-29,Afghanistan,3,5,4,17,8
2021-08-29,Japan,18,8,9,58,28
2021-08-29,Sweden,4,1,0,3,1
2021-08-30,Afghanistan,3,4,4,17,9
2021-08-30,Japan,19,5,10,61,26
2021-08-30,Sweden,4,1,0,3,1
2021-08-31,Afghanistan,3,4,2,18,10
2021-08-31,Japan,20,4,10,64,23
2021-08-31,Sweden,4,1,0,3,1
2021-09-01,Afghanistan,3,4,2,19,9
2021-09-01,Japan,20,4,7,66,24
2021-09-01,Sweden,4,0,1,3,1
2021-09-02,Afghanistan,3,4,1,20,9
2021-09-02,Japan,20,2,7,68,24
2021-09-02,Sweden,4,0,1,3,1
2021-09-03,Afghanistan,3,4,0,21,9
2021-09-03,Japan,20,2,3,70,26
2021-09-03,Sweden,4,0,1,3,1
2021-09-04,Afghanistan,3,3,1,21,9
2021-09-04,Japan,20,2,2,71,26
2021-09-04,Sweden,4,0,1,3,1
2021-09-05,Afghanistan,3,3,1,21,9
2021-09-05,Japan,20,2,2,71,26
2021-09-05,Sweden,4,0,0,3,2
2021-09-06,Afghanistan,3,3,1,21,9
2021-09-06,Japan,20,2,0,73,26
2021-09-06,Sweden,4,0,0,3,2
2021-09-07,Afghanistan,3,2,2,24,6
2021-09-07,Japan,20,2,0,75,24
2021-09-07,Sweden,4,0,0,3,2
2021-09-08,Afghanistan,3,3,1,25,5
2021-09-08,Japan,21,2,0,79,19
2021-09-08,Sweden,4,0,0,3,2
2021-09-09,Afghanistan,3,2,2,26,4
2021-09-09,Japan,21,2,0,85,13
2021-09-09,Sweden,4,0,0,3,2
2021-09-10,Afghanistan,3,2,2,26,4
2021-09-10,Japan,21,2,0,85,13
2021-09-10,Sweden,4,0,0,3,2
2021-09-11,Afghanistan,3,2,1,26,5
2021-09-11,Japan,22,1,1,88,9
2021-09-11,Sweden,4,0,0,3,2
2021-09-12,Afghanistan,3,2,1,26,5
2021-09-12,Japan,23,1,1,90,6
2021-09-12,Sweden,4,0,0,4,1
2021-09-13,Afghanistan,3,2,0,27,5
2021-09-13,Japan,23,1,1,92,4
2021-09-13,Sweden,4,0,0,4,1
2021-09-14,Afghanistan,3,2,0,28,4
2021-09-14,Japan,23,1,1,92,4
2021-09-14,Sweden,4,0,0,4,1
2021-09-15,Afghanistan,3,2,0,28,4
2021-09-15,Japan,23,1,0,94,3
2021-09-15,Sweden,4,0,0,4,1
2021-09-16,Afghanistan,3,2,0,28,4
2021-09-16,Japan,23,1,0,94,3
2021-09-16,Sweden,4,0,0,4,1
2021-09-17,Afghanistan,3,2,0,29,3
2021-09-17,Japan,23,1,0,96,1
2021-09-17,Sweden,4,0,0,4,1
2021-09-18,Afghanistan,3,2,0,29,3
2021-09-18,Japan,23,1,0,96,1
2021-09-18,Sweden,4,0,0,4,1
2021-09-19,Afghanistan,3,2,0,29,3
2021-09-19,Japan,23,1,0,96,1
2021-09-19,Sweden,4,0,0,5,0
2021-09-20,Afghanistan,3,2,0,29,3
2021-09-20,Japan,23,1,0,96,1
2021-09-20,Sweden,4,0,0,5,0
2021-09-21,Afghanistan,3,2,0,29,3
2021-09-21,Japan,23,1,0,96,1
2021-09-21,Sweden,4,0,0,5,0
2021-09-22,Afghanistan,3,2,0,30,2
2021-09-22,Japan,23,1,0,96,1
2021-09-22,Sweden,4,0,0,5,0
2021-09-23,Afghanistan,3,1,1,30,2
2021-09-23,Japan,23,1,0,96,1
2021-09-23,Sweden,4,0,0,5,0
2021-09-24,Afghanistan,3,1,1,30,2
2021-09-24,Japan,23,1,0,96,1
2021-09-24,Sweden,4,0,0,5,0
2021-09-25,Afghanistan,3,1,1,31,1
2021-09-25,Japan,23,1,0,96,1
2021-09-25,Sweden,4,0,0,5,0
2021-09-26,Afghanistan,3,0,2,31,1
2021-09-26,Japan,23,1,0,96,1
2021-09-26,Sweden,4,0,0,5,0
2021-09-27,Afghanistan,3,0,1,32,1
2021-09-27,Japan,23,1,0,96,1
2021-09-27,Sweden,4,0,0,5,0
2021-09-28,Afghanistan,3,0,1,32,1
2021-09-28,Japan,23,0,1,96,1
2021-09-28,Sweden,4,0,0,5,0
2021-09-29,Afghanistan,3,0,1,32,1
2021-09-29,Japan,23,0,1,97,0
2021-09-29,Sweden,4,0,0,5,0
2021-09-30,Afghanistan,3,0,0,32,2
2021-09-30,Japan,23,0,1,97,0
2021-09-30,Sweden,4,0,0,5,0
2021-10-01,Afghanistan,3,0,0,32,2
2021-10-01,Japan,23,0,1,97,0
2021-10-01,Sweden,4,0,0,5,0
2021-10-02,Afghanistan,3,0,0,32,2
2021-10-02,Japan,23,0,0,98,0
2021-10-02,Sweden,4,0,0,5,0
2021-10-03,Afghanistan,3,0,0,32,2
2021-10-03,Japan,23,0,0,98,0
2021-10-03,Sweden,4,0,0,5,0
2021-10-04,Afghanistan,3,0,0,32,2
2021-10-04,Japan,23,0,0,98,0
2021-10-04,Sweden,4,0,0,5,0
2021-10-05,Afghanistan,3,0,0,32,2
2021-10-05,Japan,23,0,0,98,0
2021-10-05,Sweden,4,0,0,5,0
2021-10-06,Afghanistan,3,0,0,32,2
2021-10-06,Japan,23,0,0,98,0
2021-10-06,Sweden,4,0,0,5,0
2021-10-07,Afghanistan,3,0,0,32,2
2021-10-07,Japan,23,0,0,98,0
2021-10-07,Sweden,4,0,0,5,0
2021-10-08,Afghanistan,3,0,0,32,2
2021-10-08,Japan,23,0,0,98,0
2021-10-08,Sweden,4,0,0,5,0
2021-10-09,Afghanistan,3,0,0,32,2
2021-10-09,Japan,23,0,0,98,0
2021-10-09,Sweden,4,0,0,5,0
2021-10-10,Afghanistan,3,1,0,31,2
2021-10-10,Japan,23,0,0,98,0
2021-10-10,Sweden,4,0,0,5,0
2021-10-11,Afghanistan,3,1,0,32,1
2021-10-11,Japan,23,0,0,98,0
2021-10-11,Sweden,4,0,0,5,0
2021-10-12,Afghanistan,3,1,0,32,1
2021-10-12,Japan,23,0,0,98,0
2021-10-12,Sweden,4,0,0,5,0
2021-10-13,Afghanistan,3,1,0,32,1
2021-10-13,Japan,23,0,0,98,0
2021-10-13,Sweden,4,0,0,5,0
2021-10-14,Afghanistan,3,1,0,33,0
2021-10-14,Japan,23,0,0,98,0
2021-10-14,Sweden,4,0,0,5,0
2021-10-15,Afghanistan,3,1,0,33,0
2021-10-15,Japan,23,0,0,98,0
2021-10-15,Sweden,4,0,0,5,0
2021-10-16,Afghanistan,3,1,0,33,0
2021-10-16,Japan,23,0,0,98,0
2021-10-16,Sweden,4,0,0,5,0
2021-10-17,Afghanistan,3,1,0,33,0
2021-10-17,Japan,23,0,0,98,0
2021-10-17,Sweden,4,0,0,5,0
2021-10-18,Afghanistan,3,0,1,33,0
2021-10-18,Japan,23,0,0,98,0
2021-10-18,Sweden,4,0,0,5,0
2021-10-19,Afghanistan,3,0,1,33,0
2021-10-19,Japan,23,0,0,98,0
2021-10-19,Sweden,4,0,0,5,0
2021-10-20,Afghanistan,3,0,1,33,0
2021-10-20,Japan,23,0,0,98,0
2021-10-20,Sweden,4,0,0,5,0
2021-10-21,Afghanistan,3,0,1,33,0
2021-10-21,Japan,23,0,0,98,0
2021-10-21,Sweden,4,0,0,5,0
2021-10-22,Afghanistan,3,0,0,34,0
2021-10-22,Japan,23,0,0,98,0
2021-10-22,Sweden,4,0,0,5,0
2021-10-23,Afghanistan,3,0,0,34,0
2021-10-23,Japan,23,0,0,98,0
2021-10-23,Sweden,4,0,0,5,0
2021-10-24,Afghanistan,3,0,0,34,0
2021-10-24,Japan,23,0,0,98,0
2021-10-24,Sweden,4,0,0,5,0
2021-10-25,Afghanistan,3,0,0,34,0
2021-10-25,Japan,23,0,0,98,0
2021-10-25,Sweden,4,0,0,5,0
2021-10-26,Afghanistan,3,0,0,34,0
